,Unnamed: 0,Unnamed: 0.1,adm0_name,mp_price,cur_name,cm_name,um_name,mp_month,mp_year,Unnamed: 7
0,0,0,Afghanistan,0.59,USD,Bread,KG,1,2014,
1,1,1,Afghanistan,0.59,USD,Bread,KG,2,2014,
2,2,2,Afghanistan,0.59,USD,Bread,KG,3,2014,
3,3,3,Afghanistan,0.6,USD,Bread,KG,4,2014,
4,4,4,Afghanistan,0.6,USD,Bread,KG,5,2014,
5,5,5,Afghanistan,0.61,USD,Bread,KG,6,2014,
6,6,6,Afghanistan,0.61,USD,Bread,KG,7,2014,
7,7,7,Afghanistan,0.61,USD,Bread,KG,8,2014,
8,8,8,Afghanistan,0.61,USD,Bread,KG,9,2014,
9,9,9,Afghanistan,0.61,USD,Bread,KG,10,2014,
10,10,10,Afghanistan,0.61,USD,Bread,KG,11,2014,
11,11,11,Afghanistan,0.61,USD,Bread,KG,12,2014,
12,12,12,Afghanistan,0.61,USD,Bread,KG,1,2015,
13,13,13,Afghanistan,0.64,USD,Bread,KG,2,2015,
14,14,14,Afghanistan,0.64,USD,Bread,KG,3,2015,
15,15,15,Afghanistan,0.62,USD,Bread,KG,6,2015,
16,16,16,Afghanistan,0.63,USD,Bread,KG,7,2015,
17,17,17,Afghanistan,0.62,USD,Bread,KG,8,2015,
18,18,18,Afghanistan,0.62,USD,Bread,KG,9,2015,
19,19,19,Afghanistan,0.64,USD,Bread,KG,10,2015,
20,20,20,Afghanistan,0.65,USD,Bread,KG,11,2015,
21,21,21,Afghanistan,0.63,USD,Bread,KG,12,2015,
22,22,22,Afghanistan,0.63,USD,Bread,KG,1,2016,
23,23,23,Afghanistan,0.63,USD,Bread,KG,2,2016,
24,24,24,Afghanistan,0.63,USD,Bread,KG,3,2016,
25,25,25,Afghanistan,0.62,USD,Bread,KG,4,2016,
26,26,26,Afghanistan,0.62,USD,Bread,KG,5,2016,
27,27,27,Afghanistan,0.62,USD,Bread,KG,6,2016,
28,28,28,Afghanistan,0.62,USD,Bread,KG,7,2016,
29,29,29,Afghanistan,0.62,USD,Bread,KG,8,2016,
30,30,30,Afghanistan,0.62,USD,Bread,KG,9,2016,
31,31,31,Afghanistan,0.62,USD,Bread,KG,10,2016,
32,32,32,Afghanistan,0.62,USD,Bread,KG,11,2016,
33,33,33,Afghanistan,0.62,USD,Bread,KG,12,2016,
34,34,34,Afghanistan,0.62,USD,Bread,KG,1,2017,
35,35,35,Afghanistan,0.62,USD,Bread,KG,2,2017,
36,36,36,Afghanistan,0.62,USD,Bread,KG,3,2017,
37,37,37,Afghanistan,0.62,USD,Bread,KG,4,2017,
38,38,38,Afghanistan,0.62,USD,Bread,KG,5,2017,
39,39,39,Afghanistan,0.62,USD,Bread,KG,6,2017,
40,40,40,Afghanistan,0.62,USD,Bread,KG,7,2017,
41,41,41,Afghanistan,0.62,USD,Bread,KG,8,2017,
42,42,42,Afghanistan,0.62,USD,Bread,KG,9,2017,
43,43,43,Afghanistan,0.62,USD,Bread,KG,10,2017,
44,44,44,Algeria,0.14,USD,Bread,KG,4,2015,
45,45,45,Algeria,0.14,USD,Bread,KG,5,2015,
46,46,46,Algeria,0.14,USD,Bread,KG,6,2015,
47,47,47,Algeria,0.14,USD,Bread,KG,7,2015,
48,48,48,Algeria,0.14,USD,Bread,KG,8,2015,
49,49,49,Algeria,0.14,USD,Bread,KG,9,2015,
50,50,50,Algeria,0.14,USD,Bread,KG,10,2015,
51,51,51,Algeria,0.14,USD,Bread,KG,11,2015,
52,52,52,Algeria,0.14,USD,Bread,KG,12,2015,
53,53,53,Algeria,0.14,USD,Bread,KG,1,2016,
54,54,54,Algeria,0.14,USD,Bread,KG,2,2016,
55,55,55,Algeria,0.14,USD,Bread,KG,3,2016,
56,56,56,Algeria,0.14,USD,Bread,KG,7,2016,
57,57,57,Algeria,0.14,USD,Bread,KG,8,2016,
58,58,58,Algeria,0.14,USD,Bread,KG,9,2016,
59,59,59,Algeria,0.14,USD,Bread,KG,10,2016,
60,60,101,Armenia,0.86,USD,Bread (high grade flour),KG,4,2012,
61,61,162,Armenia,0.78,USD,Bread (first grade flour),KG,4,2012,
62,62,102,Armenia,0.87,USD,Bread (high grade flour),KG,5,2012,
63,63,163,Armenia,0.8,USD,Bread (first grade flour),KG,5,2012,
64,64,103,Armenia,0.87,USD,Bread (high grade flour),KG,6,2012,
65,65,164,Armenia,0.79,USD,Bread (first grade flour),KG,6,2012,
66,66,165,Armenia,0.8,USD,Bread (first grade flour),KG,7,2012,
67,67,104,Armenia,0.88,USD,Bread (high grade flour),KG,7,2012,
68,68,166,Armenia,0.81,USD,Bread (first grade flour),KG,8,2012,
69,69,105,Armenia,0.88,USD,Bread (high grade flour),KG,8,2012,
70,70,167,Armenia,0.86,USD,Bread (first grade flour),KG,9,2012,
71,71,106,Armenia,0.92,USD,Bread (high grade flour),KG,9,2012,
72,72,107,Armenia,0.94,USD,Bread (high grade flour),KG,10,2012,
73,73,168,Armenia,0.86,USD,Bread (first grade flour),KG,10,2012,
74,74,169,Armenia,0.85,USD,Bread (first grade flour),KG,11,2012,
75,75,108,Armenia,0.94,USD,Bread (high grade flour),KG,11,2012,
76,76,170,Armenia,0.85,USD,Bread (first grade flour),KG,12,2012,
77,77,109,Armenia,0.94,USD,Bread (high grade flour),KG,12,2012,
78,78,171,Armenia,0.85,USD,Bread (first grade flour),KG,1,2013,
79,79,110,Armenia,0.94,USD,Bread (high grade flour),KG,1,2013,
80,80,111,Armenia,0.94,USD,Bread (high grade flour),KG,2,2013,
81,81,172,Armenia,0.86,USD,Bread (first grade flour),KG,2,2013,
82,82,112,Armenia,0.94,USD,Bread (high grade flour),KG,3,2013,
83,83,173,Armenia,0.86,USD,Bread (first grade flour),KG,3,2013,
84,84,113,Armenia,0.93,USD,Bread (high grade flour),KG,4,2013,
85,85,174,Armenia,0.85,USD,Bread (first grade flour),KG,4,2013,
86,86,175,Armenia,0.85,USD,Bread (first grade flour),KG,5,2013,
87,87,114,Armenia,0.94,USD,Bread (high grade flour),KG,5,2013,
88,88,115,Armenia,0.97,USD,Bread (high grade flour),KG,6,2013,
89,89,176,Armenia,0.89,USD,Bread (first grade flour),KG,6,2013,
90,90,177,Armenia,0.89,USD,Bread (first grade flour),KG,7,2013,
91,91,116,Armenia,0.97,USD,Bread (high grade flour),KG,7,2013,
92,92,117,Armenia,0.97,USD,Bread (high grade flour),KG,8,2013,
93,93,178,Armenia,0.89,USD,Bread (first grade flour),KG,8,2013,
94,94,118,Armenia,0.96,USD,Bread (high grade flour),KG,9,2013,
95,95,179,Armenia,0.88,USD,Bread (first grade flour),KG,9,2013,
96,96,180,Armenia,0.89,USD,Bread (first grade flour),KG,10,2013,
97,97,119,Armenia,0.97,USD,Bread (high grade flour),KG,10,2013,
98,98,120,Armenia,0.97,USD,Bread (high grade flour),KG,12,2013,
99,99,181,Armenia,0.89,USD,Bread (first grade flour),KG,12,2013,
100,100,60,Armenia,0.99,USD,Bread (high grade flour),KG,3,2014,
101,101,121,Armenia,0.91,USD,Bread (first grade flour),KG,3,2014,
102,102,61,Armenia,0.99,USD,Bread (high grade flour),KG,4,2014,
103,103,122,Armenia,0.89,USD,Bread (first grade flour),KG,4,2014,
104,104,123,Armenia,0.9,USD,Bread (first grade flour),KG,5,2014,
105,105,62,Armenia,0.99,USD,Bread (high grade flour),KG,5,2014,
106,106,124,Armenia,0.9,USD,Bread (first grade flour),KG,6,2014,
107,107,63,Armenia,0.99,USD,Bread (high grade flour),KG,6,2014,
108,108,64,Armenia,0.99,USD,Bread (high grade flour),KG,7,2014,
109,109,125,Armenia,0.9,USD,Bread (first grade flour),KG,7,2014,
110,110,126,Armenia,0.89,USD,Bread (first grade flour),KG,8,2014,
111,111,65,Armenia,0.98,USD,Bread (high grade flour),KG,8,2014,
112,112,127,Armenia,0.89,USD,Bread (first grade flour),KG,9,2014,
113,113,66,Armenia,0.98,USD,Bread (high grade flour),KG,9,2014,
114,114,128,Armenia,0.89,USD,Bread (first grade flour),KG,10,2014,
115,115,67,Armenia,0.98,USD,Bread (high grade flour),KG,10,2014,
116,116,129,Armenia,0.9,USD,Bread (first grade flour),KG,11,2014,
117,117,68,Armenia,0.99,USD,Bread (high grade flour),KG,11,2014,
118,118,130,Armenia,0.91,USD,Bread (first grade flour),KG,12,2014,
119,119,69,Armenia,1.0,USD,Bread (high grade flour),KG,12,2014,
120,120,131,Armenia,0.94,USD,Bread (first grade flour),KG,1,2015,
121,121,70,Armenia,1.01,USD,Bread (high grade flour),KG,1,2015,
122,122,71,Armenia,1.08,USD,Bread (high grade flour),KG,2,2015,
123,123,132,Armenia,0.98,USD,Bread (first grade flour),KG,2,2015,
124,124,72,Armenia,1.07,USD,Bread (high grade flour),KG,3,2015,
125,125,133,Armenia,0.98,USD,Bread (first grade flour),KG,3,2015,
126,126,73,Armenia,1.14,USD,Bread (high grade flour),KG,4,2015,
127,127,134,Armenia,0.98,USD,Bread (first grade flour),KG,4,2015,
128,128,74,Armenia,1.04,USD,Bread (high grade flour),KG,5,2015,
129,129,135,Armenia,0.95,USD,Bread (first grade flour),KG,5,2015,
130,130,136,Armenia,0.98,USD,Bread (first grade flour),KG,6,2015,
131,131,75,Armenia,1.14,USD,Bread (high grade flour),KG,6,2015,
132,132,137,Armenia,0.96,USD,Bread (first grade flour),KG,7,2015,
133,133,76,Armenia,1.05,USD,Bread (high grade flour),KG,7,2015,
134,134,77,Armenia,1.04,USD,Bread (high grade flour),KG,8,2015,
135,135,138,Armenia,0.95,USD,Bread (first grade flour),KG,8,2015,
136,136,78,Armenia,1.03,USD,Bread (high grade flour),KG,9,2015,
137,137,139,Armenia,0.95,USD,Bread (first grade flour),KG,9,2015,
138,138,140,Armenia,0.96,USD,Bread (first grade flour),KG,10,2015,
139,139,79,Armenia,1.06,USD,Bread (high grade flour),KG,10,2015,
140,140,80,Armenia,1.01,USD,Bread (high grade flour),KG,11,2015,
141,141,141,Armenia,0.95,USD,Bread (first grade flour),KG,11,2015,
142,142,142,Armenia,0.94,USD,Bread (first grade flour),KG,12,2015,
143,143,81,Armenia,1.01,USD,Bread (high grade flour),KG,12,2015,
