year;south_america;north_america;oceania;asia;africa
199201;0.55;2.28;-0.10;1.83;-0.27
199202;0.63;1.51;0.46;1.37;-0.01
199203;1.03;1.85;1.15;0.33;0.17
199204;0.70;-0.03;0.97;-0.23;0.31
199205;0.96;-0.18;0.63;0.24;0.06
199206;1.23;-0.42;0.43;-0.33;0.31
199207;-0.22;-1.04;0.68;-0.28;0.07
199208;0.30;-0.81;0.23;-0.32;0.13
199209;0.21;-1.01;-0.03;-0.64;0.30
199210;0.50;-0.26;-0.26;-0.29;0.37
199211;0.13;0.14;-0.83;-0.14;-0.02
199212;0.29;-0.74;-0.30;1.53;0.27
199301;0.53;0.67;0.70;1.39;-0.27
199302;0.31;-0.41;0.09;2.25;-0.25
199303;0.76;1.15;0.48;1.37;0.18
199304;0.73;0.49;1.35;-0.04;0.35
199305;0.55;0.62;0.84;-0.18;0.50
199306;0.76;-0.26;0.16;0.08;0.58
199307;0.23;-0.30;0.92;0.09;0.59
199308;0.43;0.17;0.75;-0.16;0.45
199309;0.32;-0.56;0.09;-0.28;0.45
199310;0.73;-0.26;-0.28;0.14;0.71
199311;0.52;-0.63;0.69;-1.27;0.60
199312;0.47;1.41;-0.37;0.25;0.48
199401;0.45;-1.22;0.87;0.87;0.24
199402;0.29;-2.12;0.16;-0.42;-0.04
199403;0.38;1.62;-0.44;0.59;0.32
199404;0.46;0.58;0.06;0.74;0.45
199405;1.08;0.65;0.54;0.41;0.46
199406;0.82;0.96;0.28;0.73;0.17
199407;0.56;0.42;0.47;0.00;0.04
199408;0.41;0.44;-0.27;0.25;0.20
199409;1.07;0.57;0.09;0.08;0.21
199410;0.82;0.55;0.61;0.84;0.03
199411;0.43;0.36;0.27;1.37;0.37
199412;1.04;1.57;0.96;0.10;-0.16
199501;0.54;2.12;0.45;1.91;-0.09
199502;0.38;0.99;-0.12;3.17;0.36
199503;0.61;0.32;-0.40;1.37;0.41
199504;0.48;-0.00;-0.34;1.20;0.16
199505;0.48;0.26;0.03;0.43;0.61
199506;0.77;0.79;0.64;0.63;0.60
199507;0.83;0.06;0.61;0.30;0.62
199508;0.62;0.68;1.15;0.71;0.91
199509;0.87;0.52;1.04;0.46;0.66
199510;0.47;0.31;0.18;1.15;0.58
199511;0.68;-0.69;0.61;1.98;0.44
199512;0.79;-0.03;-0.08;1.06;0.33
199601;0.37;-1.22;0.22;0.06;0.85
199602;0.38;1.10;0.35;0.85;0.64
199603;0.50;-0.77;0.48;0.46;0.37
199604;0.47;-0.05;0.16;-0.35;0.16
199605;0.60;0.02;0.49;0.70;0.66
199606;-0.16;0.72;1.99;0.20;0.24
199607;-0.04;0.07;1.01;0.59;0.28
199608;0.81;0.13;0.81;-0.25;0.38
199609;0.36;-0.19;0.76;-0.09;0.55
199610;0.69;-0.99;0.72;0.06;0.13
199611;0.58;-1.30;0.23;0.65;-0.07
199612;0.46;0.14;0.30;0.97;0.64
199701;0.58;-0.24;-0.04;0.96;0.85
199702;0.14;1.51;0.97;1.27;-0.10
199703;0.36;-0.06;-0.39;2.07;-0.13
199704;0.77;-0.75;0.34;1.98;-0.16
199705;0.86;-0.40;0.24;0.76;0.06
199706;1.00;0.52;0.16;0.51;0.64
199707;1.55;0.34;-0.31;0.14;0.72
199708;1.11;0.36;0.04;0.36;0.64
199709;1.33;1.24;1.00;0.26;0.87
199710;1.18;-0.42;0.69;1.37;0.65
199711;1.05;0.60;0.85;0.29;0.73
199712;0.99;2.21;0.87;-0.05;0.62
199801;1.25;1.27;0.86;0.02;0.54
199802;1.07;3.51;1.23;1.59;1.37
199803;0.93;0.99;1.18;1.05;0.69
199804;1.14;1.83;0.61;0.76;1.55
199805;0.94;1.95;1.30;0.36;0.92
199806;0.87;0.63;0.80;0.77;0.99
199807;1.42;1.18;0.52;1.10;1.09
199808;0.88;1.11;1.43;1.12;0.89
199809;0.48;1.66;1.24;0.52;0.70
199810;1.03;0.86;0.98;0.67;0.61
199811;0.54;1.79;0.35;-0.64;0.69
199812;0.62;1.56;0.31;1.78;0.65
199901;0.33;1.00;1.46;1.25;0.59
199902;0.71;2.49;0.36;3.05;0.49
199903;0.61;1.71;0.87;-1.07;0.71
199904;0.07;1.09;-0.45;0.95;0.86
199905;0.20;0.41;1.18;0.65;0.88
199906;0.40;0.47;0.71;0.25;1.02
199907;0.22;0.25;0.84;0.86;0.69
199908;0.41;0.70;0.83;0.43;0.54
199909;1.07;0.32;1.36;0.53;0.41
199910;0.50;-0.05;0.84;1.17;0.35
199911;0.38;2.17;-0.97;0.38;0.66
199912;0.55;2.00;-0.53;2.32;0.53
200001;0.65;1.35;-0.32;0.25;0.22
200002;0.27;3.25;0.40;1.43;-0.23
200003;0.18;2.93;0.28;1.58;0.33
200004;0.68;0.63;0.32;2.24;0.95
200005;0.31;0.68;-0.60;1.11;0.66
200006;0.65;0.07;-0.39;0.96;0.59
200007;-0.19;0.43;0.79;0.66;0.58
200008;0.67;0.48;0.31;0.83;0.54
200009;0.37;0.21;1.54;0.53;0.41
200010;0.88;0.42;0.01;-0.40;0.13
200011;0.30;0.03;0.72;-0.97;0.31
200012;0.57;-1.42;0.33;0.26;0.40
200101;0.50;2.93;1.19;-0.10;0.42
200102;0.99;0.32;0.45;0.39;0.13
200103;0.78;0.71;-0.70;1.79;1.24
200104;0.73;1.18;0.20;1.13;0.77
200105;0.30;0.92;-0.02;1.65;0.73
200106;0.41;0.57;0.58;0.99;0.53
200107;0.85;0.57;0.32;0.59;0.54
200108;1.18;1.16;0.38;0.88;0.74
200109;0.45;0.96;0.86;0.42;0.66
200110;0.79;0.09;-0.72;0.52;0.73
200111;0.65;2.30;-0.53;2.15;0.59
200112;0.72;1.89;-0.76;0.31;1.02
200201;0.72;2.40;-0.02;3.00;0.17
200202;0.59;1.32;-0.84;3.80;0.73
200203;1.05;-1.34;0.42;3.35;1.03
200204;0.74;-0.16;1.61;0.71;0.88
200205;1.15;-0.66;1.27;0.88;0.68
200206;0.55;0.95;0.27;0.75;0.54
200207;0.67;0.83;0.52;0.94;1.23
200208;1.04;0.24;0.33;0.44;1.03
200209;0.72;0.93;0.96;0.67;0.88
200210;1.39;-0.73;1.00;0.37;0.59
200211;0.87;1.15;1.11;0.96;0.72
200212;0.74;2.89;0.86;-1.42;0.82
200301;1.07;1.96;1.14;1.39;0.86
200302;0.99;-0.24;1.07;1.46;0.85
200303;0.99;-0.01;-0.12;1.10;0.70
200304;0.59;0.83;1.09;0.62;0.98
200305;0.69;0.81;1.11;0.73;1.02
200306;1.36;0.25;0.96;0.40;0.59
200307;0.58;0.85;1.01;0.14;0.53
200308;0.13;1.32;0.63;0.74;0.45
200309;0.76;0.56;1.12;0.83;0.61
200310;1.15;1.59;-0.12;1.16;1.12
200311;1.00;0.45;0.81;0.28;0.98
200312;0.71;2.09;0.95;2.11;0.56
200401;0.86;-0.53;0.52;1.80;0.62
200402;0.58;1.04;1.02;2.41;0.79
200403;0.99;1.63;0.54;1.83;0.82
200404;1.01;0.74;1.12;0.73;0.80
200405;-0.27;-0.01;0.34;0.90;0.65
200406;0.68;0.21;0.88;0.73;0.43
200407;0.65;0.27;0.49;0.44;0.32
200408;0.66;-0.36;0.30;0.22;1.01
200409;1.07;0.34;-0.01;0.68;0.34
200410;0.97;0.64;1.66;0.51;1.04
200411;0.73;1.43;0.55;2.31;0.99
200412;0.88;0.37;0.62;0.09;0.89
200501;0.95;1.14;0.77;1.35;0.16
200502;0.91;2.14;0.76;-0.84;1.30
200503;0.95;1.28;1.12;1.43;1.21
200504;0.64;1.71;2.54;1.18;1.14
200505;0.83;0.63;1.36;0.97;1.04
200506;1.28;0.85;1.08;1.12;0.76
200507;0.77;0.78;1.20;0.95;0.94
200508;0.91;0.58;0.65;0.61;0.98
200509;0.20;1.19;1.22;1.40;0.90
200510;0.61;1.05;1.29;1.47;0.92
200511;0.68;1.30;0.99;2.20;0.83
200512;0.44;1.79;1.02;0.96;1.08
200601;0.81;3.88;1.28;-1.29;0.62
200602;0.85;1.75;0.69;1.12;0.93
200603;0.70;1.20;0.87;1.54;0.72
200604;0.63;2.27;-0.03;-0.08;0.94
200605;0.14;1.35;-0.49;0.83;0.48
200606;0.95;1.42;-0.71;1.18;0.76
200607;1.42;1.22;0.31;0.31;0.94
200608;0.83;0.72;1.07;0.73;0.76
200609;0.94;0.46;1.14;0.92;0.44
200610;1.27;0.20;1.42;1.13;0.96
200611;0.72;-0.04;1.64;1.19;0.44
200612;1.01;2.89;0.36;1.86;0.12
200701;0.94;1.85;0.55;3.38;0.48
200702;0.91;-0.53;1.76;1.80;1.06
200703;0.82;1.00;0.79;1.63;0.81
200704;1.07;0.61;1.25;2.14;1.05
200705;0.07;0.69;1.85;1.33;0.93
200706;0.59;0.75;-0.92;0.69;0.78
200707;0.34;1.02;0.55;0.78;0.55
200708;-0.13;0.77;0.94;1.23;0.68
200709;0.94;0.58;1.26;1.20;0.88
200710;0.81;1.06;1.36;1.05;0.68
200711;0.57;1.10;0.64;1.56;0.65
200712;0.63;0.38;0.31;1.90;0.44
200801;0.56;0.74;1.25;-0.73;0.06
200802;0.66;-0.27;-0.29;0.99;0.34
200803;0.56;-0.17;0.65;4.18;1.22
200804;0.45;0.22;0.12;1.29;0.70
200805;0.19;0.24;0.57;0.98;0.82
200806;0.18;0.65;0.89;0.94;0.70
200807;1.20;0.29;0.56;0.82;0.87
200808;0.89;0.44;-0.61;0.66;0.81
200809;0.45;0.21;1.28;0.49;0.72
